Book ID,Book Name,Author,Release Year
1000,To Kill a Mockingbird,Harper Lee,1960
1001,1984,George Orwell,1949
1002,Pride and Prejudice,Jane Austen,1813
1003,The Great Gatsby,F. Scott Fitzgerald,1925
1004,Moby-Dick,Herman Melville,1851
1005,War and Peace,Leo Tolstoy,1869
1006,The Catcher in the Rye,J.D. Salinger,1951
1007,The Hobbit,J.R.R. Tolkien,1937
1008,Crime and Punishment,Fyodor Dostoevsky,1866
1009,Brave New World,Aldous Huxley,1932
1010,Catch-22,Joseph Heller,1961
1011,Wuthering Heights,Emily Brontë,1847
1012,Jane Eyre,Charlotte Brontë,1847
1013,Animal Farm,George Orwell,1945
1014,The Brothers Karamazov,Fyodor Dostoevsky,1880
1015,Madame Bovary,Gustave Flaubert,1856
1016,The Divine Comedy,Dante Alighieri,1320
1017,Great Expectations,Charles Dickens,1861
1018,One Hundred Years of Solitude,Gabriel García Márquez,1967
1019,Fahrenheit 451,Ray Bradbury,1953
1020,The Kite Runner,Khaled Hosseini,2003
1021,Les Misérables,Victor Hugo,1862
1022,A Tale of Two Cities,Charles Dickens,1859
1023,Anna Karenina,Leo Tolstoy,1878
1024,The Catcher in the Rye,J.D. Salinger,1951
1025,Slaughterhouse-Five,Kurt Vonnegut,1969
1026,Lord of the Flies,William Golding,1954
1027,Ulysses,James Joyce,1922
1028,The Lord of the Rings,J.R.R. Tolkien,1954
1029,The Count of Monte Cristo,Alexandre Dumas,1844
1030,The Grapes of Wrath,John Steinbeck,1939
1031,A Passage to India,E.M. Forster,1924
1032,Don Quixote,Miguel de Cervantes,1605
1033,The Alchemist,Paulo Coelho,1988
1034,The Stranger,Albert Camus,1942
1035,The Sun Also Rises,Ernest Hemingway,1926
1036,To the Lighthouse,Virginia Woolf,1927
1037,The Adventures of Huckleberry Finn,Mark Twain,1884
1038,Heart of Darkness,Joseph Conrad,1899
1039,Lolita,Vladimir Nabokov,1955
1040,Middlemarch,George Eliot,1871
1041,Rebecca,Daphne du Maurier,1938
1042,The Picture of Dorian Gray,Oscar Wilde,1890
1043,Beloved,Toni Morrison,1987
1044,A Clockwork Orange,Anthony Burgess,1962
1045,Frankenstein,Mary Shelley,1818
1046,David Copperfield,Charles Dickens,1850
1047,The Old Man and the Sea,Ernest Hemingway,1952
